loading data...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C02M01.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C02M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C02M16.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C02M18.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C02M20.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C02M29.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C20M01.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C20M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C20M16.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C20M17.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C20M18.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C20M20.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C20M29.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C35M01.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C35M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C45M01.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C45M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C45M29.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C05M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C05M22.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C06M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C06M22.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C07M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C07M17.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C07M18.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C07M22.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C08M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C08M22.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C11M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C15M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C16M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C16M18.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C16M22.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M03.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M06.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M07.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M08.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M09.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M10.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M13.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M15.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M16.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M17.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M18.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M20.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M21.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M22.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M23.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M24.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M25.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M26.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M33.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M34.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C17M35.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M03.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M12.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M13.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M15.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M16.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M17.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M18.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M19.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M20.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M22.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M23.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M24.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M26.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M29.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M30.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M33.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C18M34.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C19M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C21M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C22M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C22M22.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C23M02.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C23M04.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C23M05.npy...
load data /hpcwork/izkf/projects/ENCODEImputation/local/NPYFilesBinary/training_data/C23M06.npy...
